Комбинация дескриптор + алгоритм сопоставления;Количество найденных точек
change_brightness_-50_KAZE_FLANN_KMeans,446
change_brightness_-50_AKAZE_BF_L2,291
change_brightness_-50_AKAZE_NORM_HAMMING2,291
change_brightness_-50_AKAZE_NORM_L2SQR,291
change_brightness_-50_AKAZE_FLANN_LSH,291
change_brightness_-50_GFTT+ORB_BF_L2,844
change_brightness_-50_GFTT+ORB_NORM_HAMMING2,844
change_brightness_-50_GFTT+ORB_NORM_L2SQR,844
change_brightness_-50_GFTT+ORB_FLANN_LSH,844
change_brightness_-50_GFTT+BRISK_BF_L2,941
change_brightness_-50_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_-50_GFTT+BRISK_NORM_L2SQR,941
change_brightness_-50_GFTT+BRISK_FLANN_LSH,941
change_brightness_-50_SIFT_BF_L2,587
change_brightness_-50_SIFT_NORM_L2SQR,587
change_brightness_-50_SIFT_FLANN_KDTree,587
change_brightness_-50_SIFT_FLANN_KMeans,587
change_brightness_-40_ORB_BF_L2,498
change_brightness_-40_ORB_NORM_HAMMING2,498
change_brightness_-40_ORB_NORM_L2SQR,498
change_brightness_-40_ORB_FLANN_LSH,498
change_brightness_-40_FAST+ORB_BF_L2,2478
change_brightness_-40_FAST+ORB_NORM_HAMMING2,2478
change_brightness_-40_FAST+ORB_NORM_L2SQR,2478
change_brightness_-40_FAST+ORB_FLANN_LSH,2478
change_brightness_-40_FAST+BRISK_BF_L2,2860
change_brightness_-40_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_-40_FAST+BRISK_NORM_L2SQR,2860
change_brightness_-40_FAST+BRISK_FLANN_LSH,2860
change_brightness_-40_KAZE_BF_L2,446
change_brightness_-40_KAZE_NORM_L2SQR,446
change_brightness_-40_KAZE_FLANN_KDTree,446
change_brightness_-40_KAZE_FLANN_KMeans,446
change_brightness_-40_AKAZE_BF_L2,291
change_brightness_-40_AKAZE_NORM_HAMMING2,291
change_brightness_-40_AKAZE_NORM_L2SQR,291
change_brightness_-40_AKAZE_FLANN_LSH,290
change_brightness_-40_GFTT+ORB_BF_L2,844
change_brightness_-40_GFTT+ORB_NORM_HAMMING2,844
change_brightness_-40_GFTT+ORB_NORM_L2SQR,844
change_brightness_-40_GFTT+ORB_FLANN_LSH,844
change_brightness_-40_GFTT+BRISK_BF_L2,941
change_brightness_-40_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_-40_GFTT+BRISK_NORM_L2SQR,941
change_brightness_-40_GFTT+BRISK_FLANN_LSH,941
change_brightness_-40_SIFT_BF_L2,587
change_brightness_-40_SIFT_NORM_L2SQR,587
change_brightness_-40_SIFT_FLANN_KDTree,587
change_brightness_-40_SIFT_FLANN_KMeans,587
change_brightness_-30_ORB_BF_L2,498
change_brightness_-30_ORB_NORM_HAMMING2,498
change_brightness_-30_ORB_NORM_L2SQR,498
change_brightness_-30_ORB_FLANN_LSH,498
change_brightness_-30_FAST+ORB_BF_L2,2478
change_brightness_-30_FAST+ORB_NORM_HAMMING2,2478
change_brightness_-30_FAST+ORB_NORM_L2SQR,2478
change_brightness_-30_FAST+ORB_FLANN_LSH,2478
change_brightness_-30_FAST+BRISK_BF_L2,2860
change_brightness_-30_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_-30_FAST+BRISK_NORM_L2SQR,2860
change_brightness_-30_FAST+BRISK_FLANN_LSH,2860
change_brightness_-30_KAZE_BF_L2,446
change_brightness_-30_KAZE_NORM_L2SQR,446
change_brightness_-30_KAZE_FLANN_KDTree,446
change_brightness_-30_KAZE_FLANN_KMeans,446
change_brightness_-30_AKAZE_BF_L2,291
change_brightness_-30_AKAZE_NORM_HAMMING2,291
change_brightness_-30_AKAZE_NORM_L2SQR,291
change_brightness_-30_AKAZE_FLANN_LSH,291
change_brightness_-30_GFTT+ORB_BF_L2,844
change_brightness_-30_GFTT+ORB_NORM_HAMMING2,844
change_brightness_-30_GFTT+ORB_NORM_L2SQR,844
change_brightness_-30_GFTT+ORB_FLANN_LSH,844
change_brightness_-30_GFTT+BRISK_BF_L2,941
change_brightness_-30_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_-30_GFTT+BRISK_NORM_L2SQR,941
change_brightness_-30_GFTT+BRISK_FLANN_LSH,941
change_brightness_-30_SIFT_BF_L2,587
change_brightness_-30_SIFT_NORM_L2SQR,587
change_brightness_-30_SIFT_FLANN_KDTree,587
change_brightness_-30_SIFT_FLANN_KMeans,587
change_brightness_-20_ORB_BF_L2,498
change_brightness_-20_ORB_NORM_HAMMING2,498
change_brightness_-20_ORB_NORM_L2SQR,498
change_brightness_-20_ORB_FLANN_LSH,498
change_brightness_-20_FAST+ORB_BF_L2,2478
change_brightness_-20_FAST+ORB_NORM_HAMMING2,2478
change_brightness_-20_FAST+ORB_NORM_L2SQR,2478
change_brightness_-20_FAST+ORB_FLANN_LSH,2478
change_brightness_-20_FAST+BRISK_BF_L2,2860
change_brightness_-20_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_-20_FAST+BRISK_NORM_L2SQR,2860
change_brightness_-20_FAST+BRISK_FLANN_LSH,2860
change_brightness_-20_KAZE_BF_L2,446
change_brightness_-20_KAZE_NORM_L2SQR,446
change_brightness_-20_KAZE_FLANN_KDTree,446
change_brightness_-20_KAZE_FLANN_KMeans,446
change_brightness_-20_AKAZE_BF_L2,291
change_brightness_-20_AKAZE_NORM_HAMMING2,291
change_brightness_-20_AKAZE_NORM_L2SQR,291
change_brightness_-20_AKAZE_FLANN_LSH,291
change_brightness_-20_GFTT+ORB_BF_L2,844
change_brightness_-20_GFTT+ORB_NORM_HAMMING2,844
change_brightness_-20_GFTT+ORB_NORM_L2SQR,844
change_brightness_-20_GFTT+ORB_FLANN_LSH,844
change_brightness_-20_GFTT+BRISK_BF_L2,941
change_brightness_-20_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_-20_GFTT+BRISK_NORM_L2SQR,941
change_brightness_-20_GFTT+BRISK_FLANN_LSH,941
change_brightness_-20_SIFT_BF_L2,587
change_brightness_-20_SIFT_NORM_L2SQR,587
change_brightness_-20_SIFT_FLANN_KDTree,587
change_brightness_-20_SIFT_FLANN_KMeans,587
change_brightness_-10_ORB_BF_L2,498
change_brightness_-10_ORB_NORM_HAMMING2,498
change_brightness_-10_ORB_NORM_L2SQR,498
change_brightness_-10_ORB_FLANN_LSH,498
change_brightness_-10_FAST+ORB_BF_L2,2478
change_brightness_-10_FAST+ORB_NORM_HAMMING2,2478
change_brightness_-10_FAST+ORB_NORM_L2SQR,2478
change_brightness_-10_FAST+ORB_FLANN_LSH,2478
change_brightness_-10_FAST+BRISK_BF_L2,2860
change_brightness_-10_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_-10_FAST+BRISK_NORM_L2SQR,2860
change_brightness_-10_FAST+BRISK_FLANN_LSH,2860
change_brightness_-10_KAZE_BF_L2,446
change_brightness_-10_KAZE_NORM_L2SQR,446
change_brightness_-10_KAZE_FLANN_KDTree,446
change_brightness_-10_KAZE_FLANN_KMeans,446
change_brightness_-10_AKAZE_BF_L2,291
change_brightness_-10_AKAZE_NORM_HAMMING2,291
change_brightness_-10_AKAZE_NORM_L2SQR,291
change_brightness_-10_AKAZE_FLANN_LSH,291
change_brightness_-10_GFTT+ORB_BF_L2,844
change_brightness_-10_GFTT+ORB_NORM_HAMMING2,844
change_brightness_-10_GFTT+ORB_NORM_L2SQR,844
change_brightness_-10_GFTT+ORB_FLANN_LSH,844
change_brightness_-10_GFTT+BRISK_BF_L2,941
change_brightness_-10_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_-10_GFTT+BRISK_NORM_L2SQR,941
change_brightness_-10_GFTT+BRISK_FLANN_LSH,941
change_brightness_-10_SIFT_BF_L2,587
change_brightness_-10_SIFT_NORM_L2SQR,587
change_brightness_-10_SIFT_FLANN_KDTree,587
change_brightness_-10_SIFT_FLANN_KMeans,587
change_brightness_0_ORB_BF_L2,498
change_brightness_0_ORB_NORM_HAMMING2,498
change_brightness_0_ORB_NORM_L2SQR,498
change_brightness_0_ORB_FLANN_LSH,498
change_brightness_0_FAST+ORB_BF_L2,2478
change_brightness_0_FAST+ORB_NORM_HAMMING2,2478
change_brightness_0_FAST+ORB_NORM_L2SQR,2478
change_brightness_0_FAST+ORB_FLANN_LSH,2478
change_brightness_0_FAST+BRISK_BF_L2,2860
change_brightness_0_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_0_FAST+BRISK_NORM_L2SQR,2860
change_brightness_0_FAST+BRISK_FLANN_LSH,2860
change_brightness_0_KAZE_BF_L2,446
change_brightness_0_KAZE_NORM_L2SQR,446
change_brightness_0_KAZE_FLANN_KDTree,446
change_brightness_0_KAZE_FLANN_KMeans,446
change_brightness_0_AKAZE_BF_L2,291
change_brightness_0_AKAZE_NORM_HAMMING2,291
change_brightness_0_AKAZE_NORM_L2SQR,291
change_brightness_0_AKAZE_FLANN_LSH,291
change_brightness_0_GFTT+ORB_BF_L2,844
change_brightness_0_GFTT+ORB_NORM_HAMMING2,844
change_brightness_0_GFTT+ORB_NORM_L2SQR,844
change_brightness_0_GFTT+ORB_FLANN_LSH,844
change_brightness_0_GFTT+BRISK_BF_L2,941
change_brightness_0_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_0_GFTT+BRISK_NORM_L2SQR,941
change_brightness_0_GFTT+BRISK_FLANN_LSH,941
change_brightness_0_SIFT_BF_L2,587
change_brightness_0_SIFT_NORM_L2SQR,587
change_brightness_0_SIFT_FLANN_KDTree,587
change_brightness_0_SIFT_FLANN_KMeans,587
change_brightness_10_ORB_BF_L2,498
change_brightness_10_ORB_NORM_HAMMING2,498
change_brightness_10_ORB_NORM_L2SQR,498
change_brightness_10_ORB_FLANN_LSH,498
change_brightness_10_FAST+ORB_BF_L2,2478
change_brightness_10_FAST+ORB_NORM_HAMMING2,2478
change_brightness_10_FAST+ORB_NORM_L2SQR,2478
change_brightness_10_FAST+ORB_FLANN_LSH,2478
change_brightness_10_FAST+BRISK_BF_L2,2860
change_brightness_10_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_10_FAST+BRISK_NORM_L2SQR,2860
change_brightness_10_FAST+BRISK_FLANN_LSH,2860
change_brightness_10_KAZE_BF_L2,446
change_brightness_10_KAZE_NORM_L2SQR,446
change_brightness_10_KAZE_FLANN_KDTree,446
change_brightness_10_KAZE_FLANN_KMeans,446
change_brightness_10_AKAZE_BF_L2,291
change_brightness_10_AKAZE_NORM_HAMMING2,291
change_brightness_10_AKAZE_NORM_L2SQR,291
change_brightness_10_AKAZE_FLANN_LSH,291
change_brightness_10_GFTT+ORB_BF_L2,844
change_brightness_10_GFTT+ORB_NORM_HAMMING2,844
change_brightness_10_GFTT+ORB_NORM_L2SQR,844
change_brightness_10_GFTT+ORB_FLANN_LSH,844
change_brightness_10_GFTT+BRISK_BF_L2,941
change_brightness_10_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_10_GFTT+BRISK_NORM_L2SQR,941
change_brightness_10_GFTT+BRISK_FLANN_LSH,941
change_brightness_10_SIFT_BF_L2,587
change_brightness_10_SIFT_NORM_L2SQR,587
change_brightness_10_SIFT_FLANN_KDTree,587
change_brightness_10_SIFT_FLANN_KMeans,587
change_brightness_20_ORB_BF_L2,498
change_brightness_20_ORB_NORM_HAMMING2,498
change_brightness_20_ORB_NORM_L2SQR,498
change_brightness_20_ORB_FLANN_LSH,498
change_brightness_20_FAST+ORB_BF_L2,2478
change_brightness_20_FAST+ORB_NORM_HAMMING2,2478
change_brightness_20_FAST+ORB_NORM_L2SQR,2478
change_brightness_20_FAST+ORB_FLANN_LSH,2478
change_brightness_20_FAST+BRISK_BF_L2,2860
change_brightness_20_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_20_FAST+BRISK_NORM_L2SQR,2860
change_brightness_20_FAST+BRISK_FLANN_LSH,2860
change_brightness_20_KAZE_BF_L2,446
change_brightness_20_KAZE_NORM_L2SQR,446
change_brightness_20_KAZE_FLANN_KDTree,446
change_brightness_20_KAZE_FLANN_KMeans,446
change_brightness_20_AKAZE_BF_L2,291
change_brightness_20_AKAZE_NORM_HAMMING2,291
change_brightness_20_AKAZE_NORM_L2SQR,291
change_brightness_20_AKAZE_FLANN_LSH,291
change_brightness_20_GFTT+ORB_BF_L2,844
change_brightness_20_GFTT+ORB_NORM_HAMMING2,844
change_brightness_20_GFTT+ORB_NORM_L2SQR,844
change_brightness_20_GFTT+ORB_FLANN_LSH,844
change_brightness_20_GFTT+BRISK_BF_L2,941
change_brightness_20_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_20_GFTT+BRISK_NORM_L2SQR,941
change_brightness_20_GFTT+BRISK_FLANN_LSH,941
change_brightness_20_SIFT_BF_L2,587
change_brightness_20_SIFT_NORM_L2SQR,587
change_brightness_20_SIFT_FLANN_KDTree,587
change_brightness_20_SIFT_FLANN_KMeans,587
change_brightness_30_ORB_BF_L2,498
change_brightness_30_ORB_NORM_HAMMING2,498
change_brightness_30_ORB_NORM_L2SQR,498
change_brightness_30_ORB_FLANN_LSH,498
change_brightness_30_FAST+ORB_BF_L2,2478
change_brightness_30_FAST+ORB_NORM_HAMMING2,2478
change_brightness_30_FAST+ORB_NORM_L2SQR,2478
change_brightness_30_FAST+ORB_FLANN_LSH,2478
change_brightness_30_FAST+BRISK_BF_L2,2860
change_brightness_30_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_30_FAST+BRISK_NORM_L2SQR,2860
change_brightness_30_FAST+BRISK_FLANN_LSH,2860
change_brightness_30_KAZE_BF_L2,446
change_brightness_30_KAZE_NORM_L2SQR,446
change_brightness_30_KAZE_FLANN_KDTree,446
change_brightness_30_KAZE_FLANN_KMeans,446
change_brightness_30_AKAZE_BF_L2,291
change_brightness_30_AKAZE_NORM_HAMMING2,291
change_brightness_30_AKAZE_NORM_L2SQR,291
change_brightness_30_AKAZE_FLANN_LSH,291
change_brightness_30_GFTT+ORB_BF_L2,844
change_brightness_30_GFTT+ORB_NORM_HAMMING2,844
change_brightness_30_GFTT+ORB_NORM_L2SQR,844
change_brightness_30_GFTT+ORB_FLANN_LSH,844
change_brightness_30_GFTT+BRISK_BF_L2,941
change_brightness_30_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_30_GFTT+BRISK_NORM_L2SQR,941
change_brightness_30_GFTT+BRISK_FLANN_LSH,941
change_brightness_30_SIFT_BF_L2,587
change_brightness_30_SIFT_NORM_L2SQR,587
change_brightness_30_SIFT_FLANN_KDTree,587
change_brightness_30_SIFT_FLANN_KMeans,587
change_brightness_40_ORB_BF_L2,498
change_brightness_40_ORB_NORM_HAMMING2,498
change_brightness_40_ORB_NORM_L2SQR,498
change_brightness_40_ORB_FLANN_LSH,498
change_brightness_40_FAST+ORB_BF_L2,2478
change_brightness_40_FAST+ORB_NORM_HAMMING2,2478
change_brightness_40_FAST+ORB_NORM_L2SQR,2478
change_brightness_40_FAST+ORB_FLANN_LSH,2478
change_brightness_40_FAST+BRISK_BF_L2,2860
change_brightness_40_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_40_FAST+BRISK_NORM_L2SQR,2860
change_brightness_40_FAST+BRISK_FLANN_LSH,2860
change_brightness_40_KAZE_BF_L2,446
change_brightness_40_KAZE_NORM_L2SQR,446
change_brightness_40_KAZE_FLANN_KDTree,446
change_brightness_40_KAZE_FLANN_KMeans,446
change_brightness_40_AKAZE_BF_L2,291
change_brightness_40_AKAZE_NORM_HAMMING2,291
change_brightness_40_AKAZE_NORM_L2SQR,291
change_brightness_40_AKAZE_FLANN_LSH,291
change_brightness_40_GFTT+ORB_BF_L2,844
change_brightness_40_GFTT+ORB_NORM_HAMMING2,844
change_brightness_40_GFTT+ORB_NORM_L2SQR,844
change_brightness_40_GFTT+ORB_FLANN_LSH,844
change_brightness_40_GFTT+BRISK_BF_L2,941
change_brightness_40_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_40_GFTT+BRISK_NORM_L2SQR,941
change_brightness_40_GFTT+BRISK_FLANN_LSH,941
change_brightness_40_SIFT_BF_L2,587
change_brightness_40_SIFT_NORM_L2SQR,587
change_brightness_40_SIFT_FLANN_KDTree,587
change_brightness_40_SIFT_FLANN_KMeans,587
change_brightness_50_ORB_BF_L2,498
change_brightness_50_ORB_NORM_HAMMING2,498
change_brightness_50_ORB_NORM_L2SQR,498
change_brightness_50_ORB_FLANN_LSH,498
change_brightness_50_FAST+ORB_BF_L2,2478
change_brightness_50_FAST+ORB_NORM_HAMMING2,2478
change_brightness_50_FAST+ORB_NORM_L2SQR,2478
change_brightness_50_FAST+ORB_FLANN_LSH,2478
change_brightness_50_FAST+BRISK_BF_L2,2860
change_brightness_50_FAST+BRISK_NORM_HAMMING2,2860
change_brightness_50_FAST+BRISK_NORM_L2SQR,2860
change_brightness_50_FAST+BRISK_FLANN_LSH,2860
change_brightness_50_KAZE_BF_L2,446
change_brightness_50_KAZE_NORM_L2SQR,446
change_brightness_50_KAZE_FLANN_KDTree,446
change_brightness_50_KAZE_FLANN_KMeans,446
change_brightness_50_AKAZE_BF_L2,291
change_brightness_50_AKAZE_NORM_HAMMING2,291
change_brightness_50_AKAZE_NORM_L2SQR,291
change_brightness_50_AKAZE_FLANN_LSH,291
change_brightness_50_GFTT+ORB_BF_L2,844
change_brightness_50_GFTT+ORB_NORM_HAMMING2,844
change_brightness_50_GFTT+ORB_NORM_L2SQR,844
change_brightness_50_GFTT+ORB_FLANN_LSH,844
change_brightness_50_GFTT+BRISK_BF_L2,941
change_brightness_50_GFTT+BRISK_NORM_HAMMING2,941
change_brightness_50_GFTT+BRISK_NORM_L2SQR,941
change_brightness_50_GFTT+BRISK_FLANN_LSH,941
change_brightness_50_SIFT_BF_L2,587
change_brightness_50_SIFT_NORM_L2SQR,587
change_brightness_50_SIFT_FLANN_KDTree,587
change_brightness_50_SIFT_FLANN_KMeans,587
change_brightness_60_ORB_BF_L2,498
change_brightness_60_ORB_NORM_HAMMING2,498
change_brightness_60_ORB_NORM_L2SQR,498
change_brightness_60_ORB_FLANN_LSH,498
change_brightness_60_FAST+ORB_BF_L2,2478
change_brightness_60_FAST+ORB_NORM_HAMMING2,2478
change_brightness_60_FAST+ORB_NORM_L2SQR,2478
